Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending,cluster_purchase_behavior
18,452,18,102,16,18,6,612,2
26,523,7,134,37,14,169,884,2
8,546,0,48,0,6,6,606,0
29,398,40,367,119,122,30,1076,1
75,1,3,6,3,6,15,34,0
0,10,0,1,0,0,0,11,0
19,688,14,309,201,24,38,1274,3
4,247,49,159,7,82,109,653,2
90,856,59,487,58,29,73,1562,3
1,496,36,460,189,60,12,1253,1
25,25,3,43,17,4,17,109,0
29,258,107,291,84,37,86,863,1
88,565,6,65,0,6,19,661,2
58,14,10,13,4,15,9,65,0
68,2,1,6,2,1,1,13,0
34,721,111,925,97,18,18,1890,3
40,1032,105,779,137,105,51,2209,3
12,1,0,5,0,3,9,18,0
9,577,0,64,0,0,51,692,2
87,64,4,68,7,5,17,165,0
5,4,1,5,2,0,4,16,0
87,25,5,19,7,0,23,79,0
56,112,17,44,34,22,89,318,2
18,163,23,424,27,65,76,778,2
95,17,8,14,10,4,3,56,0
48,130,0,16,0,0,5,151,0
3,292,6,37,0,3,34,372,0
70,350,60,568,110,133,145,1366,1
79,135,9,39,4,0,7,194,0
4,230,42,192,49,37,53,603,2
45,7,0,8,2,0,1,18,0
87,445,37,359,98,28,18,985,3
69,15,2,10,0,1,4,32,0
84,27,2,14,0,0,0,43,0
30,5,3,11,12,5,9,45,0
72,505,0,26,0,0,75,606,2
37,51,2,7,0,1,2,63,0
44,207,26,447,75,0,223,978,2
32,135,46,92,65,61,11,410,0
0,53,1,5,2,1,10,72,0
43,41,1,6,2,0,5,55,0
59,386,172,183,185,132,111,1169,1
68,562,81,276,80,40,81,1120,2
35,217,76,690,50,26,38,1097,3
94,1,3,6,10,0,9,29,0
15,144,1,32,2,1,7,187,0
56,295,106,271,75,98,65,910,1
17,76,3,31,4,4,27,145,0
18,454,194,106,31,22,43,850,1
46,425,115,292,23,35,79,969,2
40,1332,17,311,23,51,86,1820,3
27,527,0,21,0,0,60,608,2
95,490,44,125,29,20,22,730,2
19,378,0,101,0,0,72,551,2
27,64,1,21,0,1,27,114,0
25,547,99,812,151,82,33,1724,1
74,47,90,94,123,103,120,577,1
85,12,5,25,0,9,30,81,0
37,1,6,7,11,5,3,33,0
65,320,48,133,39,72,48,660,2
13,34,3,29,0,4,10,80,0
63,9,0,7,3,4,7,30,0
83,17,0,14,7,3,2,43,0
69,722,27,102,44,72,168,1135,2
87,162,33,124,40,28,172,559,2
37,450,133,951,173,0,216,1923,1
51,70,0,16,0,0,4,90,0
23,352,0,27,10,0,15,404,0
72,492,19,110,16,12,12,661,2
10,120,58,73,65,89,58,463,2
42,534,5,47,0,5,41,632,2
10,236,106,189,23,41,130,725,2
96,231,65,196,38,71,124,725,2
51,220,0,33,3,0,23,279,0
21,796,14,590,38,44,0,1482,3
31,0,1,3,10,6,9,29,0
61,53,1,34,2,0,16,106,0
37,15,0,8,4,2,20,49,0
74,17,1,12,3,1,4,38,0
46,962,61,921,52,61,20,2077,3
4,738,0,232,13,20,50,1053,2
73,399,28,756,36,40,126,1385,3
47,614,16,132,43,33,33,871,2
13,32,34,41,73,16,116,312,2
36,598,16,141,32,41,49,877,2
47,2,1,18,20,11,16,68,0
49,6,1,10,0,1,4,22,0
94,73,3,90,12,1,32,211,0
65,42,16,29,12,20,8,127,0
59,295,21,78,39,13,13,459,0
96,346,17,48,23,13,13,460,0
28,233,20,57,8,20,91,429,2
12,5,7,24,19,14,20,89,0
57,888,0,57,0,0,76,1021,2
10,997,26,269,34,13,42,1381,2
4,212,6,69,4,12,3,306,0
49,8,1,7,2,0,0,18,0
3,42,11,57,10,28,14,162,0
64,536,11,387,149,91,57,1231,3
0,5,0,3,0,0,5,13,0
20,1349,16,249,43,16,33,1706,3
91,53,3,49,7,4,5,121,0
9,1001,12,240,16,12,12,1293,2
98,20,2,1582,1,2,1,1608,3
83,18,1,32,6,3,28,88,0
27,125,16,98,134,21,27,421,0
63,212,5,33,7,0,2,259,0
46,277,162,305,173,76,124,1117,1
84,15,10,19,8,17,20,89,0
58,7,3,10,8,1,7,36,0
78,12,4,6,11,8,16,57,0
4,85,7,24,2,3,27,148,0
17,81,0,6,0,0,6,93,0
77,59,0,12,0,0,48,119,0
56,1149,71,449,69,71,26,1835,3
79,847,66,119,86,89,111,1318,1
90,29,0,14,0,0,2,45,0
96,2,0,5,2,0,1,10,0
44,207,26,447,75,0,223,978,2
81,152,3,22,2,5,7,191,0
77,12,11,10,3,12,9,57,0
21,620,26,195,34,17,141,1033,2
16,47,1,6,0,0,12,66,0
80,1,9,7,2,14,10,43,0
45,10,1,18,10,4,7,50,0
63,35,0,2,0,0,2,39,0
34,356,0,107,19,9,117,608,2
14,783,30,537,140,76,15,1581,3
13,42,1,18,3,0,4,68,0
52,1,4,10,29,0,36,80,0
98,466,22,432,147,113,102,1282,1
99,15,6,8,7,4,25,65,0
93,23,3,21,3,19,22,91,0
38,235,6,45,8,9,12,315,0
24,10,0,10,3,1,7,31,0
80,656,16,106,32,16,8,834,2
82,519,17,813,27,173,51,1600,3
20,344,189,482,50,33,172,1270,1
81,96,1,79,7,1,79,263,0
50,448,4,34,6,4,39,535,0
60,265,138,553,224,23,92,1295,1
63,587,43,337,42,87,54,1150,3
54,763,29,138,76,176,58,1240,1
72,22,0,13,0,0,3,38,0
5,6,4,1,7,2,15,35,0
88,7,6,13,7,6,14,53,0
50,81,18,113,47,13,21,293,0
99,54,0,7,0,0,4,65,0
17,1170,48,320,42,32,192,1804,3
11,72,24,68,65,4,8,241,0
18,613,22,319,33,102,12,1101,2
70,224,0,30,0,0,10,264,0
21,410,0,59,19,9,44,541,2
66,239,10,554,254,87,54,1198,1
79,171,7,171,25,19,89,482,2
2,12,0,4,0,0,1,17,0
81,1076,16,417,42,48,16,1615,3
24,182,4,33,0,0,66,285,0
48,824,32,162,42,32,43,1135,2
93,30,11,25,29,1,18,114,0
56,377,10,540,80,30,10,1047,3
3,520,7,154,19,0,14,714,2
44,155,1,25,0,1,3,185,0
38,897,23,207,15,11,92,1245,2
46,131,0,16,2,1,39,189,0
84,297,7,79,0,11,182,576,2
27,787,20,204,0,0,92,1103,2
72,792,86,740,67,51,17,1753,3
66,4,1,9,3,0,0,17,0
30,231,7,137,4,15,39,433,0
2,983,76,184,180,138,27,1588,1
65,3,1,8,4,3,3,22,0
37,0,4,5,6,0,4,19,0
89,562,21,464,28,10,32,1117,3
49,5,9,20,6,8,21,69,0
46,18,0,4,0,0,1,23,0
32,415,5,124,15,35,11,605,2
54,5,3,10,12,7,20,57,0
23,8,0,5,7,0,2,22,0
98,901,61,757,186,163,20,2088,1
97,382,114,276,75,124,38,1009,1
75,14,1,7,2,1,1,26,0
8,559,153,503,218,13,181,1627,1
37,789,0,133,0,28,152,1102,2
31,11,0,5,0,0,1,17,0
40,1218,16,272,104,0,80,1690,3
74,925,64,179,133,12,77,1390,3
90,864,134,768,150,38,172,2126,1
57,960,28,183,220,70,70,1531,1
59,16,3,25,6,1,13,64,0
52,3,3,7,0,2,11,26,0
5,168,148,444,32,172,148,1112,1
92,45,47,52,21,20,25,210,0
77,650,28,353,45,42,30,1148,3
35,24,0,8,0,0,1,33,0
48,918,21,118,13,10,21,1101,2
97,138,33,87,28,24,12,322,0
95,12,4,2,10,6,10,44,0
24,11,0,4,0,0,2,17,0
60,1,2,8,4,3,13,31,0
46,554,41,215,11,0,24,845,2
85,167,2,62,24,13,7,275,0
31,9,0,6,4,1,5,25,0
9,177,2,71,3,2,20,275,0
30,38,4,22,4,2,20,90,0
47,483,84,398,205,84,241,1495,1
70,77,2,35,0,1,69,184,0
13,182,74,298,162,149,116,981,1
11,10,7,19,8,2,21,67,0
31,778,44,499,95,73,146,1635,3
15,16,7,23,0,8,6,60,0
2,167,0,43,6,2,13,231,0
55,13,2,14,8,7,4,48,0
38,33,6,40,3,7,10,99,0
86,625,7,99,10,22,7,770,2
56,216,162,224,101,92,162,957,1
29,68,129,396,188,22,15,818,1
30,196,0,512,33,130,54,925,2
64,635,15,100,20,7,131,908,2
46,4,19,9,28,25,17,102,0
84,297,7,79,0,11,182,576,2
20,84,5,38,150,12,28,317,0
74,204,7,149,20,15,66,461,2
18,26,0,8,0,0,3,37,0
75,15,6,20,4,5,20,70,0
17,304,98,230,150,74,74,930,1
88,285,28,242,55,114,135,859,2
19,395,183,565,166,141,28,1478,1
62,248,3,81,4,3,51,390,0
11,20,6,5,0,9,12,52,0
74,39,0,56,20,8,14,137,0
32,777,129,573,216,21,203,1919,1
76,8,3,22,21,1,13,68,0
6,9,1,3,0,4,8,25,0
62,1241,0,80,0,13,40,1374,2
20,6,4,7,4,3,8,32,0
43,65,4,16,0,4,11,100,0
45,395,15,263,60,54,38,825,2
34,801,0,80,0,0,35,916,2
53,36,0,12,2,2,10,62,0
44,513,14,154,19,0,28,728,2
89,37,0,46,4,3,0,90,0
43,80,15,93,20,13,52,273,0
68,14,1,21,2,3,25,66,0
44,525,147,112,219,147,63,1213,1
64,1,26,25,17,23,15,107,0
85,675,11,400,15,45,11,1157,3
93,509,0,27,0,0,10,546,0
12,154,2,46,20,4,15,241,0
86,3,5,14,2,12,17,53,0
28,25,0,8,2,0,2,37,0
69,861,138,461,60,30,61,1611,3
42,768,44,561,77,44,14,1508,3
13,185,0,28,3,2,17,235,0
86,24,0,7,0,0,1,32,0
59,44,4,21,6,0,27,102,0
30,91,64,128,65,3,50,401,2
33,11,0,7,3,1,6,28,0
67,738,20,172,52,50,20,1052,2
23,412,5,119,38,29,77,680,2
81,3,3,7,6,2,9,30,0
6,16,0,3,0,0,1,20,0
41,731,60,353,78,12,73,1307,3
78,424,17,118,7,23,41,630,2
49,792,0,275,45,45,126,1283,2
39,21,2,28,3,2,9,65,0
3,22,1,11,0,1,2,37,0
37,33,0,5,0,0,0,38,0
22,68,7,59,10,5,11,160,0
79,9,1,6,3,0,4,23,0
46,40,2,15,8,0,6,71,0
82,909,11,218,0,0,23,1161,2
10,23,1,13,2,2,18,59,0
51,11,2,9,3,0,8,33,0
38,317,46,247,151,46,139,946,1
10,797,153,293,72,97,30,1442,1
14,10,2,16,11,2,21,62,0
18,856,61,570,40,25,122,1674,3
36,755,144,562,104,64,224,1853,1
95,456,19,832,75,118,38,1538,3
11,37,32,38,11,3,18,139,0
65,1103,0,45,0,0,34,1182,2
71,378,14,68,19,14,14,507,0
13,1,6,7,0,1,3,18,0
58,204,34,204,172,153,173,940,1
65,30,0,9,0,0,3,42,0
0,189,104,379,111,189,218,1190,1
33,15,0,12,7,3,7,44,0
90,9,0,3,0,0,4,16,0
95,495,33,255,11,33,8,835,2
93,656,80,455,52,107,93,1443,3
38,452,20,514,13,30,0,1029,2
18,546,91,410,119,0,22,1188,3
57,1048,0,217,0,0,12,1277,2
45,22,2,14,0,1,10,49,0
61,78,0,11,0,0,10,99,0
6,561,64,785,84,128,48,1670,3
65,629,17,177,69,0,8,900,2
52,269,15,69,15,19,38,425,0
87,736,163,818,212,163,61,2153,1
38,512,0,83,0,0,41,636,2
53,19,3,10,11,8,6,57,0
31,9,0,6,4,1,5,25,0
67,247,8,160,6,8,65,494,2
65,404,0,92,28,27,142,693,2
64,333,0,815,129,42,29,1348,3
82,2,3,20,6,11,9,51,0
27,833,33,549,151,133,233,1932,1
63,789,0,142,12,9,38,990,2
66,10,4,7,0,6,3,30,0
69,159,4,45,6,2,38,254,0
52,7,1,6,3,1,11,29,0
45,977,12,253,16,12,101,1371,2
2,38,4,22,3,3,3,73,0
86,57,0,27,0,0,36,120,0
23,3,9,15,13,2,39,81,0
13,10,4,14,4,4,1,37,0
14,1043,24,97,32,24,157,1377,2
92,3,9,13,2,12,12,51,0
38,11,0,5,0,0,1,17,0
74,3,6,5,0,2,6,22,0
14,43,12,96,78,40,55,324,0
94,73,3,90,12,1,32,211,0
33,12,0,1,0,0,6,19,0
32,4,7,7,6,4,13,41,0
11,314,11,53,4,3,107,492,2
78,571,50,142,33,50,159,1005,2
56,70,0,11,2,8,23,114,0
57,866,21,151,28,21,86,1173,2
7,594,134,786,33,134,57,1738,1
0,140,4,61,0,13,4,222,0
66,375,152,335,93,91,81,1127,1
86,102,9,63,2,9,24,209,0
80,554,35,113,0,7,78,787,2
56,919,0,505,99,30,45,1598,3
18,96,1,42,12,3,32,186,0
51,5,2,16,3,2,19,47,0
71,2,0,6,8,6,5,27,0
71,6,4,9,6,36,35,96,0
80,23,1,25,0,8,7,64,0
2,610,105,125,137,42,21,1040,1
83,67,5,61,3,8,19,163,0
29,65,36,74,38,20,110,343,2
11,416,0,26,0,0,4,446,0
55,23,0,11,3,2,2,41,0
19,19,3,26,10,9,3,70,0
1,155,7,80,13,7,10,272,0
19,14,0,24,3,3,2,46,0
28,370,9,92,6,9,4,490,0
76,4,22,11,3,7,32,79,0
50,407,53,221,58,150,26,915,1
1,1200,0,204,38,29,14,1485,2
90,85,44,54,102,78,6,369,0
83,583,34,309,0,22,125,1073,2
73,483,0,591,156,0,12,1242,3
24,2,5,9,28,6,28,78,0
11,966,26,282,52,26,26,1378,3
33,822,114,108,179,137,114,1474,1
4,604,0,100,19,0,28,751,2
14,19,3,19,3,1,3,48,0
30,5,3,11,12,5,9,45,0
75,2,2,2,2,1,1,10,0
26,1076,68,103,29,91,68,1435,3
77,1285,42,716,55,0,21,2119,3
8,10,0,7,2,0,1,20,0
42,551,137,792,179,103,33,1795,1
28,800,0,297,0,34,57,1188,2
52,2,2,11,10,6,12,43,0
1,378,0,189,97,172,172,1008,1
1,1248,16,349,43,16,16,1688,3
42,235,0,235,19,4,191,684,2
76,515,47,181,149,95,95,1082,1
27,438,66,400,12,38,114,1068,2
28,25,0,22,2,3,5,57,0
49,31,0,7,2,0,6,46,0
12,357,35,271,28,28,14,733,2
14,400,4,35,6,0,22,467,0
89,99,0,15,2,1,5,122,0
96,1,11,5,4,6,9,36,0
56,5,4,13,8,0,4,34,0
72,77,28,31,16,0,4,156,0
14,3,1,2,4,3,1,14,0
13,10,4,14,4,4,1,37,0
99,0,6,3,7,6,12,34,0
72,0,0,1,2,12,5,20,0
92,76,14,74,13,5,10,192,0
87,398,190,537,61,156,37,1379,1
7,14,7,11,11,0,5,48,0
91,208,7,82,30,66,35,428,0
71,430,16,322,43,24,33,868,2
24,656,38,161,62,47,37,1001,2
17,14,2,30,8,2,3,59,0
87,141,70,106,72,19,23,431,0
21,507,19,364,25,47,9,971,2
90,164,24,103,12,3,42,348,0
44,606,24,974,197,194,64,2059,1
71,116,11,72,3,17,46,265,0
52,143,15,60,24,23,5,270,0
78,398,96,447,220,96,32,1289,1
2,522,0,257,32,16,66,893,2
60,161,0,253,199,191,122,926,1
25,112,0,6,2,1,14,135,0
47,483,84,398,205,84,241,1495,1
46,7,5,39,17,15,37,120,0
83,789,25,420,16,38,0,1288,3
17,1239,17,413,23,34,17,1743,3
13,4,1,5,2,0,3,15,0
86,335,42,127,28,5,5,542,0
92,639,8,166,11,8,58,890,2
47,563,76,384,84,192,89,1388,1
18,2,0,8,2,2,3,17,0
81,746,8,125,11,8,8,906,2
91,22,1,13,4,0,4,44,0
58,4,1,6,4,1,9,25,0
40,478,0,193,110,75,117,973,2
67,20,3,4,2,0,2,31,0
19,451,0,39,0,4,24,518,0
93,371,22,39,6,0,92,530,2
41,281,7,84,15,0,119,506,2
60,19,7,19,0,1,24,70,0
54,26,3,13,2,10,0,54,0
26,138,15,35,25,11,72,296,0
30,213,2,44,0,2,5,266,0
93,407,28,100,120,74,18,747,2
35,483,74,114,169,37,18,895,1
4,738,0,232,13,20,50,1053,2
92,502,12,109,16,6,90,735,2
24,11,0,5,2,1,1,20,0
96,24,1,108,29,29,14,205,0
11,1170,19,594,99,76,134,2092,3
99,185,2,88,15,5,14,309,0
72,983,20,389,240,50,40,1722,3
77,691,0,69,10,0,130,900,2
85,504,13,131,8,0,26,682,2
88,317,25,265,25,19,12,663,2
22,29,1,9,2,0,2,43,0
83,1396,0,322,46,35,17,1816,3
63,529,0,356,63,28,0,976,2
9,388,14,218,91,14,21,746,2
92,13,2,21,4,0,24,64,0
2,28,0,4,0,0,0,32,0
6,16,36,21,20,62,108,263,2
66,1047,0,140,67,38,153,1445,2
49,31,0,7,2,0,6,46,0
29,815,10,239,28,10,108,1210,2
77,225,162,387,106,36,29,945,1
77,493,70,324,146,40,84,1157,1
71,34,4,66,3,10,20,137,0
49,382,138,65,60,26,59,730,2
97,127,1,56,0,1,31,216,0
6,325,83,300,86,58,91,943,1
93,238,17,68,8,10,6,347,0
78,1168,92,408,72,129,55,1924,3
62,284,0,55,0,6,52,397,0
47,1288,20,613,80,61,27,2089,3
9,65,0,46,4,3,20,138,0
77,11,7,9,3,1,11,42,0
24,227,23,389,42,21,75,777,2
19,1035,134,670,25,38,0,1902,3
67,27,1,12,2,0,10,52,0
95,982,73,351,56,14,175,1651,3
48,179,2,64,38,17,58,358,0
73,1379,33,216,0,33,66,1727,3
35,32,1,64,16,12,85,210,0
76,8,4,15,7,6,2,42,0
20,881,38,319,16,25,12,1291,3
72,141,15,153,67,31,35,442,0
20,1000,155,379,224,17,120,1895,1
69,206,10,67,30,27,71,411,2
80,162,61,83,97,57,61,521,2
65,619,54,260,127,54,54,1168,3
52,456,4,24,0,0,9,493,0
65,112,6,92,3,9,38,260,0
57,11,3,22,2,2,6,46,0
70,172,12,112,8,0,15,319,0
0,78,0,11,0,0,7,96,0
19,464,151,292,65,60,30,1062,1
50,99,4,32,37,54,6,232,0
67,19,3,19,4,5,26,76,0
46,1,9,8,11,3,22,54,0
37,63,10,83,7,19,19,201,0
38,252,3,42,4,3,102,406,2
9,1478,19,403,0,19,0,1919,3
56,198,18,252,32,108,54,662,2
98,8,4,10,6,7,6,41,0
68,416,46,925,60,107,46,1600,3
72,42,7,43,20,12,10,134,0
47,14,3,21,2,1,28,69,0
33,17,0,3,0,0,1,21,0
87,15,4,10,3,4,18,54,0
0,6,16,24,11,0,34,91,0
73,458,0,24,6,4,34,526,0
74,30,3,47,19,21,42,162,0
4,179,28,520,111,123,47,1008,1
50,90,17,97,15,6,15,240,0
57,308,85,137,102,45,118,795,1
30,557,129,761,29,185,111,1772,1
27,7,4,13,15,8,17,64,0
61,1492,38,287,50,57,33,1957,3
4,30,8,12,8,8,12,78,0
75,249,153,940,58,134,38,1572,1
12,465,25,132,136,0,37,795,2
13,129,129,259,168,121,83,889,1
9,174,18,81,28,6,24,331,0
48,189,2,29,3,2,40,265,0
80,747,10,161,65,40,42,1065,2
60,6,0,2,2,0,1,11,0
43,14,0,3,0,0,4,21,0
19,12,0,4,0,0,1,17,0
26,98,0,106,49,10,106,369,2
58,32,0,5,0,0,1,38,0
42,51,12,49,17,24,24,177,0
27,200,5,44,0,10,20,279,0
56,25,6,25,6,0,0,62,0
27,1050,12,144,0,0,24,1230,2
10,117,0,22,13,0,30,182,0
48,9,4,17,10,2,7,49,0
39,56,0,11,0,0,8,75,0
85,145,13,46,17,2,4,227,0
64,203,0,10,0,0,2,215,0
69,270,3,27,39,6,99,444,2
54,9,0,16,6,6,10,47,0
57,37,12,23,8,11,52,143,0
64,46,0,7,0,0,2,55,0
10,31,1,13,7,2,9,63,0
65,1060,21,530,32,0,224,1867,3
74,264,47,188,54,47,11,611,2
4,399,4,30,6,4,30,473,0
94,8,9,9,2,5,22,55,0
41,19,0,35,6,4,17,81,0
25,817,183,797,106,163,20,2086,1
94,292,127,635,132,127,165,1478,1
9,12,6,2,11,2,16,49,0
47,130,30,168,20,34,0,382,0
12,6,4,16,3,10,30,69,0
80,16,12,18,7,1,13,67,0
20,19,0,9,0,0,2,30,0
39,4,7,15,13,9,15,63,0
57,31,3,31,2,8,4,79,0
27,36,0,2,0,0,4,42,0
83,526,28,135,10,21,99,819,2
79,400,32,519,71,75,54,1151,3
69,410,16,114,0,5,49,594,2
77,80,3,26,4,2,14,129,0
15,88,10,46,2,3,64,213,0
99,55,0,6,2,0,4,67,0
61,5,1,13,3,5,1,28,0
23,8,4,5,15,2,11,45,0
84,410,0,592,147,22,22,1193,3
74,101,13,76,20,18,40,268,0
90,162,25,53,16,0,10,266,0
41,2,8,1,4,7,15,37,0
28,25,0,8,2,0,2,37,0
73,389,91,248,64,49,41,882,2
88,215,13,87,17,17,24,373,0
94,27,0,5,0,0,3,35,0
31,85,1,16,2,1,2,107,0
31,5,6,10,6,5,10,42,0
6,179,8,83,19,11,26,326,0
23,352,0,27,10,0,15,404,0
92,17,8,12,11,15,32,95,0
52,625,35,169,58,17,35,939,2
50,10,6,11,0,4,2,33,0
54,390,22,323,104,35,107,981,2
93,10,2,15,2,1,6,36,0
56,215,63,507,231,31,190,1237,1
28,1001,17,572,93,125,17,1825,3
94,19,18,33,24,1,8,103,0
76,41,5,129,10,3,3,191,0
43,1181,107,199,39,30,30,1586,3
46,603,45,207,36,18,54,963,2
13,129,129,259,168,121,83,889,1
27,10,24,15,13,1,30,93,0
12,514,22,732,42,198,79,1587,1
3,14,0,1,0,0,1,16,0
72,387,20,713,38,54,163,1375,3
6,121,103,69,8,44,48,393,2
53,965,69,279,54,41,69,1477,3
58,707,21,250,85,43,73,1179,2
78,571,50,142,33,50,159,1005,2
57,586,66,653,17,0,26,1348,3
37,1063,89,102,16,12,25,1307,2
20,305,3,27,4,3,144,486,2
73,1200,105,758,0,42,147,2252,3
56,163,2,40,8,11,11,235,0
36,1009,181,104,202,21,207,1724,1
9,125,6,73,8,4,19,235,0
42,721,0,152,119,50,50,1092,2
28,315,4,62,41,31,146,599,2
23,1000,19,711,125,115,38,2008,3
38,16,0,17,6,3,6,48,0
63,757,80,217,29,80,11,1174,3
71,30,2,25,0,1,9,67,0
9,219,3,100,26,0,17,365,0
81,1,1,1,1,1,1,6,0
87,111,3,28,2,6,15,165,0
92,45,47,52,21,20,25,210,0
36,410,112,420,0,82,71,1095,1
86,100,1,39,6,1,76,223,0
83,509,0,65,7,11,5,597,0
74,3,6,5,0,2,6,22,0
87,445,53,213,104,98,151,1064,1
29,2,2,11,41,7,11,74,0
88,4,1,11,6,2,2,26,0
77,6,1,7,23,4,19,60,0
25,14,0,3,0,0,3,20,0
34,1,10,11,19,3,15,59,0
43,26,0,6,0,0,2,34,0
76,111,16,37,7,9,18,198,0
81,418,61,428,80,51,10,1048,3
87,327,9,122,19,14,83,574,2
33,371,159,194,58,106,141,1029,1
38,275,59,107,69,101,59,670,2
63,789,0,142,12,9,38,990,2
26,1,1,5,0,3,1,11,0
17,1004,12,145,32,12,36,1241,2
75,187,81,149,25,43,91,576,2
13,56,4,76,17,1,18,172,0
19,365,32,117,34,110,6,664,2
51,595,23,123,10,23,154,928,2
81,1132,134,384,175,134,115,2074,1
32,34,11,137,179,61,45,467,2
84,116,6,82,6,6,41,257,0
87,565,32,435,28,32,54,1146,3
99,372,18,126,47,48,78,689,2
96,899,102,838,133,102,40,2114,3
21,55,16,1622,17,3,4,1717,3
40,760,40,480,0,40,26,1346,3
3,260,86,559,63,9,67,1044,3
98,459,0,24,6,0,4,493,0
73,466,0,224,119,49,99,957,2
90,67,15,80,17,11,80,270,0
29,2,0,7,3,7,10,29,0
3,67,1,20,0,2,31,121,0
94,92,4,18,3,3,6,126,0
65,4,2,11,2,0,4,23,0
33,20,1,28,3,3,2,57,0
46,273,11,178,62,83,29,636,2
29,434,22,388,104,22,34,1004,2
99,321,11,309,33,26,34,734,2
26,212,123,177,15,64,23,614,2
30,909,12,278,0,12,242,1453,2
27,1184,32,352,21,16,16,1621,3
24,112,19,21,16,14,5,187,0
93,656,80,455,52,107,93,1443,3
34,23,0,8,6,2,18,57,0
88,537,6,42,16,6,30,637,2
96,712,0,45,0,0,191,948,2
10,23,1,13,2,2,18,59,0
26,1,3,4,2,2,6,18,0
49,664,58,83,32,0,66,903,2
11,6,10,21,19,14,42,112,0
44,299,5,201,21,21,49,596,2
75,99,13,66,43,8,4,233,0
64,749,40,294,121,160,147,1511,1
19,345,25,501,63,138,80,1152,1
45,9,4,18,7,5,5,48,0
77,440,81,368,0,122,174,1185,1
9,8,2,5,3,0,3,21,0
1,670,9,249,0,28,9,965,2
90,524,0,134,28,28,155,869,2
43,6,0,6,2,1,1,16,0
79,597,166,597,172,166,249,1947,1
19,7,0,12,13,7,32,71,0
99,54,0,7,0,0,4,65,0
62,445,25,706,80,76,48,1380,3
41,294,142,218,164,58,151,1027,1
60,292,3,77,10,3,26,411,0
17,412,22,132,59,28,183,836,2
24,8,0,3,0,0,0,11,0
60,349,4,78,6,0,43,480,0
57,328,9,124,12,24,109,606,2
74,144,2,99,7,2,30,284,0
22,1126,28,211,37,28,42,1472,3
46,967,0,617,43,50,0,1677,3
69,432,79,341,177,136,170,1335,1
29,138,39,63,55,18,21,334,0
37,0,0,1,7,4,6,18,0
26,509,133,497,78,24,97,1338,1
8,948,10,86,13,21,21,1099,2
26,39,2,25,4,3,24,97,0
79,28,1,21,3,0,10,63,0
71,13,11,24,13,8,40,109,0
83,307,26,360,138,31,40,902,2
57,901,31,345,75,31,191,1574,3
37,2,5,12,4,8,7,38,0
30,283,17,372,138,106,44,960,1
34,4,3,7,0,3,11,28,0
0,769,80,252,15,34,65,1215,2
89,518,42,742,55,56,84,1497,3
92,350,8,66,17,4,4,449,0
87,445,53,213,104,98,151,1064,1
20,778,178,689,41,27,44,1757,3
56,709,93,374,104,80,80,1440,1
28,359,35,314,93,116,89,1006,1
